TIPO DE NEGOCIO,MGA,NEW VENTURE,COMENTARIOS,REGLA_ESTANDARIZADA
OILFIELD EQUIPMENT,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
OILFIELD EQUIPMENT,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
OILFIELD EQUIPMENT,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
OILFIELD EQUIPMENT,GEICO,APLICA,-,
OILFIELD EQUIPMENT,SGA,APLICA,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
OILFIELD EQUIPMENT,AMWINS,APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
PASSENGERS (VAN <15 PAS),PROGRESSIVE,APLICA,-,
PASSENGERS (VAN <15 PAS),BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
PASSENGERS (VAN <15 PAS),GEICO,APLICA,-,
PASSENGERS (VAN <15 PAS),PRIME,APLICA,-,
PASSENGERS (VAN <15 PAS),JENCAP,APLICA,"Solo local, MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|SOLO_LOCAL
PASSENGERS (VAN <15 PAS),RIVINGTON,APLICA,-,
TOWING,PROGRESSIVE,APLICA,-,
TOWING,XPT,APP,"SIN RAMPA, CDL, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_REQUIRED|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA|SIN_RAMPA
TOWING,RLI,APP,"Min 10 unidades, CDL, MVR y pérdidas.",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|MIN_UNITS_10
TOWING,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
TOWING,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
TOWING,SGA,APLICA,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
