TIPO DE NEGOCIO,MGA,NEW VENTURE,COMENTARIOS,REGLA_ESTANDARIZADA
CARGO VAN,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
CARGO VAN,ONE80,NO APLICA,"5+ unidades - Si tiene 2+ años, es posible enviar 1-2 unidades",MIN_UNITS_5
CARGO VAN,MAXIMUM,NO APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
CARGO VAN,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
CARGO VAN,AMWINS,NO APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
CARGO VAN,ROCKLAKE,NO APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
CARGO VAN,JENCAP,APP," Solo NICO MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|SOLO_NICO
CARGO VAN,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
CARGO VAN,GEICO,APLICA,-,
CARGO VAN,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
CARGO VAN,STAR MUTUAL,NO APLICA,"1+ año en el negocio, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES|BUSINESS_YEARS_1+
STRAIGHT OR BOX TRUCK,PARAMOUNT,NO APLICA,"2+ años en el negocio, llenar formulario, CDL con dos años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|BUSINESS_YEARS_2+|APP_DILIGENCIADA|FORM_ulario
STRAIGHT OR BOX TRUCK,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
STRAIGHT OR BOX TRUCK,PROGRESSIVE,APLICA,-,
STRAIGHT OR BOX TRUCK,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
STRAIGHT OR BOX TRUCK,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
STRAIGHT OR BOX TRUCK,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
STRAIGHT OR BOX TRUCK,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
STRAIGHT OR BOX TRUCK,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
STRAIGHT OR BOX TRUCK,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
STRAIGHT OR BOX TRUCK,AMWINS,APLICA,"Solo con NICO o +2 años en el negocio, MVR, CDL con 2 años de experiencia demostrable, pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA|BUSINESS_YEARS_2+|SOLO_NICO
STRAIGHT OR BOX TRUCK,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
STRAIGHT OR BOX TRUCK,MAXIMUM,APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
STRAIGHT OR BOX TRUCK,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
STRAIGHT OR BOX TRUCK,GEICO,APLICA,-,
STRAIGHT OR BOX TRUCK,GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
STRAIGHT OR BOX TRUCK,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
STRAIGHT OR BOX TRUCK,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
